区分,都道府県,24年件数,23年件数,増減率
すり,群馬県,13,3,10
すり,埼玉県,54,53,1
すり,千葉県,36,39,-3
すり,神奈川県,56,81,-25
すり,新潟県,7,3,4
すり,山梨県,1,1,0
すり,長野県,3,6,-3
すり,静岡県,17,10,7
すり,富山県,8,6,2
すり,石川県,30,27,3
すり,福井県,4,0,4
すり,岐阜県,8,10,-2
すり,愛知県,63,49,14
すり,三重県,3,3,0
すり,滋賀県,6,8,-2
すり,京都府,16,22,-6
すり,大阪府,296,345,-49
すり,兵庫県,31,59,-28
すり,奈良県,4,1,3
すり,和歌山県,4,2,2
すり,鳥取県,0,0,0
すり,島根県,0,1,-1
すり,岡山県,3,3,0
すり,広島県,20,7,13
すり,山口県,5,10,-5
すり,徳島県,0,1,-1
すり,香川県,2,4,-2
すり,愛媛県,5,4,1
すり,高知県,9,4,5
すり,福岡県,57,87,-30
すり,佐賀県,1,2,-1
すり,長崎県,0,1,-1
すり,熊本県,10,14,-4
すり,大分県,5,4,1
すり,宮崎県,0,1,-1
すり,鹿児島県,9,6,3
すり,沖縄県,18,24,-6
自転車盗,札幌方面,61,57,4
自転車盗,函館方面,3,5,-2
自転車盗,旭川方面,6,10,-4
自転車盗,釧路方面,19,10,9
自転車盗,北見方面,4,2,2
自転車盗,青森県,17,15,2
自転車盗,岩手県,15,11,4
自転車盗,宮城県,32,125,-93
自転車盗,秋田県,5,7,-2
自転車盗,山形県,5,12,-7
自転車盗,福島県,104,111,-7
自転車盗,東京都,223,190,33
自転車盗,茨城県,567,615,-48
自転車盗,栃木県,318,245,73
自転車盗,群馬県,274,191,83
自転車盗,埼玉県,781,683,98
自転車盗,千葉県,706,746,-40
自転車盗,神奈川県,536,461,75
自転車盗,新潟県,34,33,1
自転車盗,山梨県,48,31,17
自転車盗,長野県,58,65,-7
自転車盗,静岡県,79,58,21
自転車盗,富山県,16,17,-1
自転車盗,石川県,11,13,-2
自転車盗,福井県,4,7,-3
自転車盗,岐阜県,127,109,18
自転車盗,愛知県,866,698,168
自転車盗,三重県,76,113,-37
自転車盗,滋賀県,56,39,17
自転車盗,京都府,50,51,-1
自転車盗,大阪府,417,447,-30
自転車盗,兵庫県,150,124,26
自転車盗,奈良県,36,45,-9
自転車盗,和歌山県,9,22,-13
自転車盗,鳥取県,7,9,-2
自転車盗,島根県,3,3,0
自転車盗,岡山県,51,46,5
自転車盗,広島県,18,39,-21
自転車盗,山口県,18,12,6
自転車盗,徳島県,9,17,-8
自転車盗,香川県,7,15,-8
自転車盗,愛媛県,18,21,-3
自転車盗,高知県,11,7,4
自転車盗,福岡県,63,90,-27
自転車盗,佐賀県,20,11,9
自転車盗,長崎県,8,10,-2
自転車盗,熊本県,20,16,4
自転車盗,大分県,10,11,-1
自転車盗,宮崎県,9,10,-1
自転車盗,鹿児島県,37,18,19
自転車盗,沖縄県,58,59,-1
侵入盗,札幌方面,547,625,-78
侵入盗,函館方面,100,103,-3
侵入盗,旭川方面,117,182,-65
侵入盗,釧路方面,95,63,32
侵入盗,北見方面,40,51,-11
侵入盗,青森県,307,531,-224
侵入盗,岩手県,342,207,135
侵入盗,宮城県,782,1044,-262
侵入盗,秋田県,189,194,-5
侵入盗,山形県,240,147,93
侵入盗,福島県,947,824,123
侵入盗,東京都,2258,2147,111
侵入盗,茨城県,2374,2586,-212
侵入盗,栃木県,1481,1799,-318
侵入盗,群馬県,2467,1886,581
侵入盗,埼玉県,3960,4212,-252
侵入盗,千葉県,3042,3198,-156
侵入盗,神奈川県,2518,3106,-588
侵入盗,新潟県,935,843,92
侵入盗,山梨県,301,323,-22
侵入盗,長野県,883,848,35
侵入盗,静岡県,1277,878,399
侵入盗,富山県,325,309,16
侵入盗,石川県,490,443,47
侵入盗,福井県,327,271,56
侵入盗,岐阜県,1136,1330,-194
侵入盗,愛知県,2680,2981,-301
侵入盗,三重県,1211,1208,3
侵入盗,滋賀県,471,426,45
侵入盗,京都府,384,394,-10
侵入盗,大阪府,1497,1590,-93
侵入盗,兵庫県,1531,1446,85
侵入盗,奈良県,294,356,-62
侵入盗,和歌山県,234,215,19
侵入盗,鳥取県,90,122,-32
侵入盗,島根県,188,219,-31
侵入盗,岡山県,533,580,-47
侵入盗,広島県,581,561,20
侵入盗,山口県,238,230,8
侵入盗,徳島県,219,217,2
侵入盗,香川県,308,294,14
侵入盗,愛媛県,382,419,-37
侵入盗,高知県,359,357,2
侵入盗,福岡県,2117,2175,-58
侵入盗,佐賀県,345,261,84
侵入盗,長崎県,178,231,-53
侵入盗,熊本県,326,268,58
侵入盗,大分県,272,222,50
侵入盗,宮崎県,255,321,-66
侵入盗,鹿児島県,465,505,-40
侵入盗,沖縄県,398,480,-82
